,Campaign name,Ad set name,Result Type,Results,CTR (all),Result rate,Amount spent (INR),Cost per result,Frequency,"CPM (cost per 1,000 impressions)",Impressions,Clicks (all),CPC,Ad Format,Ad Headline
0,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,On-Facebook leads,60.0,1.4321110000000001,0.14866204162537,3655.22,60.920333333333,3 to 4,90.56541130000001,40360,578,6.323910034602076,Image,Partner with us today!
1,CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,On-Facebook leads,69.0,1.9925681,0.20189016004916002,3794.37,54.990869565217,2 to 3,111.02115458,34177,681,5.571762114537445,Image,Minimum Investment & Maximum Profit
2,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,On-Facebook leads,76.0,2.82876918,0.28588624736684004,3181.32,41.859473684211004,2 to 3,119.67047848,26584,752,4.230478723404255,Image,Minimum Investment & Maximum Profit
3,CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,On-Facebook leads,43.0,1.91253502,0.17460510821456,2918.14,67.863720930233,2 to 3,118.49352337,24627,471,6.1956263269639065,Image,Minimum Investment & Maximum Profit
4,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,On-Facebook leads,55.0,2.86815068,0.26160578386606,2275.41,41.371090909091,2 to 3,108.22916667,21024,603,3.7734825870646764,Image,Minimum Investment & Maximum Profit
5,CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,On-Facebook leads,27.0,2.03844208,0.13657056145675,2354.74,87.212592592593,2 to 3,119.10672736,19770,403,5.843027295285359,Video,No. 1 Franchise Opportunity
6,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,On-Facebook leads,27.0,1.56114484,0.13774807407785,1786.31,66.15962962963,2 to 3,91.13361563,19601,306,5.837614379084967,Image,No. 1 Franchise Opportunity
7,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,On-Facebook leads,34.0,2.26822286,0.18718343977097998,2032.88,59.790588235293995,2 to 3,111.91807972,18164,412,4.9341747572815535,Image,No. 1 Franchise Opportunity
8,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,On-Facebook leads,30.0,3.83928571,0.17857142857143,1985.23,66.174333333333,2 to 3,118.16845238,16800,645,3.077875968992248,Video,Own a Chicken Store Today
9,CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,On-Facebook leads,25.0,1.9026339,0.16927347823143,1640.2,65.608,1 to 2,111.0569436,14769,281,5.837010676156583,Image,No. 1 Franchise Opportunity
10,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,On-Facebook leads,29.0,1.74864149,0.20203427615996,1991.5,68.672413793103,1 to 2,138.74181413,14354,251,7.934262948207171,Image,60+ Franchise Stores across Maharashtra
