"Campaign name","Ad set name","Ad name","Result Type",Results,"CTR (all)","Result rate","Amount spent (INR)","Cost per result",Frequency,"CPM (cost per 1,000 impressions)",Impressions,"Clicks (all)","Reporting starts","Reporting ends"
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Partner with us today!","On-Facebook leads",60,1.432111,0.14866204162537,3655.22,60.920333333333,3.2021580450651,90.5654113,40360,578,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Minimum Investment & Maximum Profit","On-Facebook leads",69,1.9925681,0.20189016004916,3794.37,54.990869565217,2.7491151866152,111.02115458,34177,681,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit","On-Facebook leads",76,2.82876918,0.28588624736684,3181.32,41.859473684211,2.5222011385199,119.67047848,26584,752,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-Minimum Investment & Maximum Profit","On-Facebook leads",43,1.91253502,0.17460510821456,2918.14,67.863720930233,2.2067204301075,118.49352337,24627,471,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit","On-Facebook leads",55,2.86815068,0.26160578386606,2275.41,41.371090909091,2.6666666666667,108.22916667,21024,603,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Video-No. 1 Franchise Opportunity","On-Facebook leads",27,2.03844208,0.13657056145675,2354.74,87.212592592593,2.4930643127364,119.10672736,19770,403,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity","On-Facebook leads",27,1.56114484,0.13774807407785,1786.31,66.15962962963,2.125,91.13361563,19601,306,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity","On-Facebook leads",34,2.26822286,0.18718343977098,2032.88,59.790588235294,2.2998227399342,111.91807972,18164,412,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Video-Own a Chicken Store Today","On-Facebook leads",30,3.83928571,0.17857142857143,1985.23,66.174333333333,2.8503562945368,118.16845238,16800,645,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-No. 1 Franchise Opportunity","On-Facebook leads",25,1.9026339,0.16927347823143,1640.2,65.608,1.8676024279211,111.0569436,14769,281,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra","On-Facebook leads",29,1.74864149,0.20203427615996,1991.5,68.672413793103,1.8778126635269,138.74181413,14354,251,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra","On-Facebook leads",16,1.24233129,0.12269938650307,1167.49,72.968125,1.9375928677563,89.53144172,13040,162,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra","On-Facebook leads",23,2.62449011,0.17701839452013,1381.65,60.071739130435,2.1072007784625,106.33802817,12993,341,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-60+ Franchise Stores across Maharashtra","On-Facebook leads",35,2.30612883,0.27360850531582,1987.23,56.778,1.7600440286186,155.34943715,12792,295,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit","On-Facebook leads",31,2.25436328,0.25048480930834,1311.27,42.299032258065,1.9588477366255,105.95265029,12376,279,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-60+ Franchise Stores across Maharashtra","On-Facebook leads",8,0.99692308,0.098461538461538,945.82,118.2275,1.7567567567568,116.40861538,8125,81,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Own a Chicken Store Today","On-Facebook leads",15,1.33636242,0.20045436322331,729.02,48.601333333333,1.6302832244009,97.42349325,7483,100,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity","On-Facebook leads",9,2.42843576,0.12210012210012,759.6,84.4,1.7642412637626,103.05250305,7371,179,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit","On-Facebook leads",9,1.45747842,0.12735248337343,622.12,69.124444444444,1.7410692288741,88.03169662,7067,103,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-Own a Chicken Store Today","On-Facebook leads",13,2.16969483,0.22931733991886,816.98,62.844615384615,1.4558294812532,144.11360028,5669,123,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Video-No. 1 Franchise Opportunity","On-Facebook leads",13,1.61125841,0.26514378951662,846.45,65.111538461538,1.7325088339223,172.63920049,4903,79,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Own a Chicken Store Today","On-Facebook leads",4,1.24481328,0.097632413961435,522.16,130.54,1.717819706499,127.44935319,4097,51,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Own a Chicken Store Today","On-Facebook leads",12,1.66506564,0.38424591738713,561.37,46.780833333333,1.5622811405703,179.7534422,3123,52,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Partner with us today!","On-Facebook leads",1,0.71154899,0.054734537493158,224.99,224.99,1.2857142857143,123.14723591,1827,13,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Housewives,"Image-No. 1 Franchise Opportunity","On-Facebook leads",4,2.14617169,0.23201856148492,253.3,63.325,1.9976825028969,146.92575406,1724,37,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Housewives,"Image-Minimum Investment & Maximum Profit","On-Facebook leads",2,2.23123732,0.40567951318458,82.79,41.395,1.4760479041916,167.93103448,493,11,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Housewives,"Image-60+ Franchise Stores across Maharashtra","On-Facebook leads",2,3.44827586,0.6269592476489,60.76,30.38,1.3809523809524,190.47021944,319,11,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra","On-Facebook leads",,1.3559322,,48.12,,1.0137457044674,163.11864407,295,4,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Housewives,"Video-No. 1 Franchise Opportunity","On-Facebook leads",,0,,33.41,,1.2631578947368,198.86904762,168,0,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Housewives,"Image-No. 1 Franchise Opportunity","On-Facebook leads",,2.02702703,,22.84,,1.3097345132743,154.32432432,148,3,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Own a Chicken Store Today","On-Facebook leads",,1.11111111,,7.31,,1.0227272727273,81.22222222,90,1,2019-11-01,2019-12-03
