Campaign name,Ad set name,Age,Gender,Results,CTR (all),Result rate,Amount spent (INR),Cost per result,Frequency,"CPM (cost per 1,000 impressions)",Impressions,Clicks (all),Ad Format,Ad Headline
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,25-34,male,23.0,1.27618467,0.11694122432377001,1834.36,79.754782608696,3 to 4,93.26621924,19668,251,Image,Partner with us today!
CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,25-34,male,37.0,1.91136316,0.19428691451376,1998.87,54.023513513514004,2 to 3,104.96061752,19044,364,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,18-24,male,26.0,1.40761594,0.19262112905616,1142.54,43.943846153845996,3 to 4,84.64513261,13498,190,Image,Partner with us today!
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,25-34,male,35.0,2.85825243,0.27184466019417003,1583.98,45.25657142857099,2 to 3,123.02757282,12875,368,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,25-34,male,19.0,1.73548773,0.16243481234505,1274.856312709,67.097700668896,2 to 3,108.99002417,11697,203,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,35-44,male,25.0,2.01546347,0.21718356354791,1327.92,53.1168,2 to 3,115.36095908,11511,232,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,25-34,male,29.0,2.54832195,0.27887296855467,1136.62,39.193793103448,2 to 3,109.30089432,10399,265,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,18-24,male,9.0,0.93962415,0.08996401439424198,773.33,85.92555555555599,2 to 3,77.30207917,10004,94,Image,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,35-44,male,18.0,2.04147071,0.19238991021804,1119.201646746,62.177869263666,2 to 3,119.62394685,9356,191,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,35-44,male,12.0,2.13297027,0.13614703880191,989.07,82.4225,2 to 3,112.21579306,8814,188,Video,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,25-34,male,15.0,2.37028302,0.17688679245283,972.42,64.828,2 to 3,114.67216981,8480,201,Image,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,18-24,male,21.0,2.20200422,0.27689873417722,771.9,36.757142857143,2 to 3,101.78006329,7584,167,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,25-34,male,13.0,1.81333333,0.17333333333332998,754.1,58.007692307692004,1 to 2,100.54666667,7500,136,Image,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,25-34,male,9.0,3.56353591,0.12430939226519,860.92,95.657777777778,2 to 3,118.91160221,7240,258,Video,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,25-34,male,12.0,1.81598063,0.18159806295400002,704.44,58.703333333333,1 to 2,106.60411622,6608,120,Image,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,25-34,male,15.0,1.78923427,0.22744503411676,871.31,58.087333333333,1 to 2,132.11675512,6595,118,Image,60+ Franchise Stores across Maharashtra
