"Campaign name","Ad set name","Ad name",Age,Gender,"Result Type",Results,"CTR (all)","Result rate","Amount spent (INR)","Cost per result",Frequency,"CPM (cost per 1,000 impressions)",Impressions,"Clicks (all)","Reporting starts","Reporting ends"
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Partner with us today!",25-34,male,"On-Facebook leads",23,1.27618467,0.11694122432377,1834.36,79.754782608696,3.3957182320442,93.26621924,19668,251,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Minimum Investment & Maximum Profit",25-34,male,"On-Facebook leads",37,1.91136316,0.19428691451376,1998.87,54.023513513514,2.9388888888889,104.96061752,19044,364,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Partner with us today!",18-24,male,"On-Facebook leads",26,1.40761594,0.19262112905616,1142.54,43.943846153846,3.1804901036758,84.64513261,13498,190,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",25-34,male,"On-Facebook leads",35,2.85825243,0.27184466019417,1583.98,45.256571428571,2.7150991142978,123.02757282,12875,368,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-Minimum Investment & Maximum Profit",25-34,male,"On-Facebook leads",19,1.73548773,0.16243481234505,1274.856312709,67.097700668896,2.3813110749186,108.99002417,11697,203,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Minimum Investment & Maximum Profit",35-44,male,"On-Facebook leads",25,2.01546347,0.21718356354791,1327.92,53.1168,2.5694196428571,115.36095908,11511,232,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",25-34,male,"On-Facebook leads",29,2.54832195,0.27887296855467,1136.62,39.193793103448,2.8273518216422,109.30089432,10399,265,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",18-24,male,"On-Facebook leads",9,0.93962415,0.089964014394242,773.33,85.925555555556,2.3875894988067,77.30207917,10004,94,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-Minimum Investment & Maximum Profit",35-44,male,"On-Facebook leads",18,2.04147071,0.19238991021804,1119.201646746,62.177869263666,2.0977578475336,119.62394685,9356,191,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Video-No. 1 Franchise Opportunity",35-44,male,"On-Facebook leads",12,2.13297027,0.13614703880191,989.07,82.4225,2.4689075630252,112.21579306,8814,188,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",25-34,male,"On-Facebook leads",15,2.37028302,0.17688679245283,972.42,64.828,2.3981900452489,114.67216981,8480,201,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",18-24,male,"On-Facebook leads",21,2.20200422,0.27689873417722,771.9,36.757142857143,2.2638805970149,101.78006329,7584,167,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",25-34,male,"On-Facebook leads",13,1.81333333,0.17333333333333,754.1,58.007692307692,1.9788918205805,100.54666667,7500,136,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Video-Own a Chicken Store Today",25-34,male,"On-Facebook leads",9,3.56353591,0.12430939226519,860.92,95.657777777778,2.9454841334418,118.91160221,7240,258,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-No. 1 Franchise Opportunity",25-34,male,"On-Facebook leads",12,1.81598063,0.181598062954,704.44,58.703333333333,1.936694021102,106.60411622,6608,120,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-60+ Franchise Stores across Maharashtra",25-34,male,"On-Facebook leads",15,1.78923427,0.22744503411676,871.31,58.087333333333,1.853569421023,132.11675512,6595,118,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Video-No. 1 Franchise Opportunity",25-34,male,"On-Facebook leads",7,1.57179918,0.1068213032199,732.99,104.71285714286,2.5011450381679,111.85563864,6553,103,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",25-34,male,"On-Facebook leads",14,1.6689847,0.21634986864472,961.73,68.695,1.8616225546605,148.62154227,6471,108,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",25-34,male,"On-Facebook leads",9,2.34326505,0.13966480446927,682.88,75.875555555556,2.1595174262735,105.97144631,6444,151,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",25-34,male,"On-Facebook leads",13,1.40077821,0.20233463035019,585.93,45.071538461538,2.0229848866499,91.19533074,6425,90,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",18-24,male,"On-Facebook leads",14,1.7377313,0.22526146419952,660.41,47.172142857143,1.9544025157233,106.26065969,6215,108,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",25-34,male,"On-Facebook leads",13,2.31039679,0.21764607399967,635.08,48.852307692308,2.0192697768763,106.32512975,5973,138,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-No. 1 Franchise Opportunity",35-44,male,"On-Facebook leads",6,1.56555773,0.106742572496,616.97,102.82833333333,1.8273732119636,109.76160825,5621,88,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",18-24,male,"On-Facebook leads",11,2.36163692,0.19830539030106,491.77,44.706363636364,2.5421631530706,88.6551289,5547,131,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Partner with us today!",35-44,male,"On-Facebook leads",8,1.98165138,0.14678899082569,468.93,58.61625,2.9238197424893,86.04220183,5450,108,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-60+ Franchise Stores across Maharashtra",25-34,male,"On-Facebook leads",6,0.9762309,0.12733446519525,506.24,84.373333333333,1.8327499027616,107.43633277,4712,46,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Video-Own a Chicken Store Today",35-44,male,"On-Facebook leads",12,4.65838509,0.2661934338953,575.51,47.959166666667,3.2017045454545,127.66415262,4508,210,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",18-24,male,"On-Facebook leads",3,1.22576332,0.066859817249833,374.4,124.8,1.9441074523397,83.44105193,4487,55,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",35-44,male,"On-Facebook leads",17,3.5666218,0.38133692238672,549.58,32.328235294118,2.524348810872,123.27949753,4458,159,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",18-24,male,"On-Facebook leads",7,1.57678245,0.1599634369287,385.77,55.11,1.962331838565,88.15585009,4376,69,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-60+ Franchise Stores across Maharashtra",35-44,male,"On-Facebook leads",14,2.62668526,0.325430032543,705.78,50.412857142857,1.6648606811146,164.05857741,4302,113,2019-11-01,2019-12-03
