Campaign name,Ad set name,Results,CTR (all),Result rate,Amount spent (INR),Cost per result,Frequency,"CPM (cost per 1,000 impressions)",Impressions,Clicks (all),time,Date,Day of Week,Type of Day
CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,1.0,5.55555556,0.79365079365079,11.9,11.9,1 to 2,94.44444444,126,7,6) 8 PM - 12 AM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,0.0,1.3592233,0.0,58.3,,1 to 2,113.20388349999999,515,7,4) 1 PM - 5 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,0.0,0.0,0.0,0.57,,1 to 2,114.0,5,0,4) 1 PM - 5 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,0.0,0.0,0.0,0.33,,1 to 2,55.0,6,0,3) 10 AM - 1 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,0.0,1.88679245,0.0,21.72,,1 to 2,136.60377358,159,3,7) 12 AM - 4 AM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,0.0,0.0,0.0,0.63,,1 to 2,210.0,3,0,3) 10 AM - 1 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,0.0,0.0,0.0,1.77,,1 to 2,177.0,10,0,2) 7 AM - 10 AM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,0.0,0.0,0.0,1.49,,1 to 2,745.0,2,0,2) 7 AM - 10 AM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,0.0,0.0,0.0,0.09,,1 to 2,90.0,1,0,2) 7 AM - 10 AM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,0.0,0.0,0.0,0.75,,1 to 2,187.5,4,0,7) 12 AM - 4 AM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,0.0,0.0,0.0,0.65,,1 to 2,92.85714286,7,0,7) 12 AM - 4 AM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,0.0,1.66358595,0.0,61.75,,1 to 2,114.14048059,541,9,3) 10 AM - 1 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,0.0,1.91570881,0.0,54.58,,1 to 2,104.55938697,522,10,4) 1 PM - 5 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,0.0,0.79840319,0.0,47.62,,1 to 2,95.0499002,501,4,5) 5 PM - 8 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,0.0,0.0,0.0,1.27,,1 to 2,317.5,4,0,4) 1 PM - 5 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,2.0,2.82258065,0.40322580645160994,48.49,24.245,1 to 2,97.76209677,496,14,6) 8 PM - 12 AM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,0.0,1.4198783000000001,0.0,49.89,,1 to 2,101.19675456,493,7,4) 1 PM - 5 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,1.0,1.2371134,0.20618556701031,44.36,44.36,1 to 2,91.46391753,485,6,6) 8 PM - 12 AM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,0.0,1.3363029,0.0,38.45,,1 to 2,85.63474388,449,6,5) 5 PM - 8 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,0.0,1.56599553,0.0,50.58,,1 to 2,113.15436242,447,7,4) 1 PM - 5 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,1.0,0.90293454,0.22573363431151003,45.49,45.49,1 to 2,102.68623025,443,4,3) 10 AM - 1 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,0.0,1.16009281,0.0,52.82,,1 to 2,122.55220418,431,5,5) 5 PM - 8 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,1.0,2.10280374,0.23364485981307997,43.43,43.43,1 to 2,101.47196262,428,9,6) 8 PM - 12 AM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,2.0,2.10280374,0.46728971962616994,45.02,22.51,1 to 2,105.18691589,428,9,3) 10 AM - 1 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,1.0,2.29226361,0.2865329512894,49.35,49.35,1 to 2,141.40401146,349,8,7) 12 AM - 4 AM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,1.0,1.7699115,0.29498525073746,30.14,30.14,1 to 2,88.90855457,339,6,2) 7 AM - 10 AM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,0.0,0.0,0.0,0.43,,1 to 2,43.0,10,0,4) 1 PM - 5 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,0.0,0.0,0.0,2.04,,1 to 2,510.0,4,0,4) 1 PM - 5 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,0.0,3.31491713,0.0,20.92,,1 to 2,115.5801105,181,6,2) 7 AM - 10 AM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,0.0,0.89285714,0.0,15.72,,1 to 2,140.35714286,112,1,5) 5 PM - 8 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,0.0,2.92397661,0.0,18.46,,1 to 2,107.95321637,171,5,6) 8 PM - 12 AM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,0.0,2.53164557,0.0,16.35,,1 to 2,103.48101266,158,4,5) 5 PM - 8 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,0.0,3.22580645,0.0,18.99,,1 to 2,153.14516129,124,4,4) 1 PM - 5 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,1.0,2.94117647,0.73529411764706,22.49,22.49,1 to 2,165.36764706,136,4,3) 10 AM - 1 PM,2019-12-01,7. Sunday,Weekend
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,1.0,2.27272727,0.75757575757576,17.34,17.34,1 to 2,131.36363636,132,3,6) 8 PM - 12 AM,2019-12-01,7. Sunday,Weekend
