"Campaign name","Ad set name","Ad name",Platform,"Result Type",Results,"CTR (all)","Result rate","Amount spent (INR)","Cost per result",Frequency,"CPM (cost per 1,000 impressions)",Impressions,"Clicks (all)","Reporting starts","Reporting ends"
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Minimum Investment & Maximum Profit",facebook,"On-Facebook leads",66,2.04823359,0.20328333384668,3581.63,54.267121212121,2.7711676340048,110.31601318,32467,665,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Partner with us today!",facebook,"On-Facebook leads",38,1.61418823,0.13162908309952,2243.26,59.033157894737,3.1599168126095,77.70480446,28869,466,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-Minimum Investment & Maximum Profit",facebook,"On-Facebook leads",39,2.08294846,0.18012192869019,2564.8621062695,65.765695032552,2.2526009155223,118.45843831,21652,451,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Video-No. 1 Franchise Opportunity",facebook,"On-Facebook leads",27,2.07312671,0.1392398535403,2321.7,85.988888888889,2.5228987769971,119.73080295,19391,402,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",facebook,"On-Facebook leads",50,3.07918659,0.26272923125427,2037.96,40.7592,2.7549218297626,107.08633283,19031,586,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",facebook,"On-Facebook leads",49,3.32231229,0.26130546075085,2157.24,44.025306122449,2.7756068679692,115.04052901,18752,623,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Video-Own a Chicken Store Today",facebook,"On-Facebook leads",30,4.23171461,0.19929582143094,1839.02,61.300666666667,3.0471659919028,122.16966718,15053,637,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",facebook,"On-Facebook leads",26,2.51844831,0.17602058086792,1627.01,62.577307692308,2.4135620915033,110.14894049,14771,372,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-No. 1 Franchise Opportunity",facebook,"On-Facebook leads",24,1.93172239,0.16858668165215,1584.62,66.025833333333,1.8825707484792,111.31076145,14236,275,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",instagram,"On-Facebook leads",11,0.82878799,0.077920238010909,1234.49,112.22636363636,2.0253945480631,87.44704966,14117,117,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",facebook,"On-Facebook leads",21,2.73531113,0.173539376911,1282.95,61.092857142857,2.1632105827673,106.02016362,12101,331,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Partner with us today!",instagram,"On-Facebook leads",22,0.97467583,0.19145418153337,1411.96,64.18,2.0461182336182,122.87529371,11491,112,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",instagram,"On-Facebook leads",24,1.30121816,0.22148394241417,1389.39,57.89125,1.7608059798505,128.21982281,10836,141,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",facebook,"On-Facebook leads",26,2.51434034,0.24856596558317,1089.35,41.898076923077,2.0271317829457,104.14435946,10460,263,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",facebook,"On-Facebook leads",10,1.36378053,0.10571942065757,705.46,70.546,1.965710723192,74.5808225,9459,129,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-60+ Franchise Stores across Maharashtra",facebook,"On-Facebook leads",24,2.83051835,0.27955736750146,1579.77,65.82375,1.7357460574201,184.01514269,8585,243,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",instagram,"On-Facebook leads",27,1.64708887,0.34473953013279,1024.08,37.928888888889,1.4935163996949,130.75587334,7832,129,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-60+ Franchise Stores across Maharashtra",facebook,"On-Facebook leads",7,0.9658725,0.090148100450741,893.27,127.61,1.7603717977783,115.03799099,7765,75,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",facebook,"On-Facebook leads",9,2.58984432,0.13094718463553,704.33,78.258888888889,1.7945169712794,102.47781173,6873,178,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Own a Chicken Store Today",instagram,"On-Facebook leads",13,0.98587404,0.1912889935256,632.01,48.616153846154,1.6352261790183,92.99735138,6796,67,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",facebook,"On-Facebook leads",8,1.64816683,0.13454423141608,470.41,58.80125,1.8284132841328,79.11368988,5946,98,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",facebook,"On-Facebook leads",16,3.4463895,0.29175784099198,551.82,34.48875,1.6978328173375,100.62363239,5484,189,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Video-No. 1 Franchise Opportunity",facebook,"On-Facebook leads",13,1.64626425,0.27437737441959,827.96,63.689230769231,1.7451197053407,174.74883917,4738,78,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-60+ Franchise Stores across Maharashtra",instagram,"On-Facebook leads",11,1.23603518,0.26146898027098,407.46,37.041818181818,1.567436661699,96.85286427,4207,52,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-Own a Chicken Store Today",facebook,"On-Facebook leads",11,2.65957447,0.26595744680851,671.92,61.083636363636,1.4589065255732,162.45647969,4136,110,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",instagram,"On-Facebook leads",6,0.9215303,0.16755096341804,462.03,77.005,1.3955572876072,129.02261938,3581,33,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",facebook,"On-Facebook leads",5,3.12677658,0.14212620807277,602.11,120.422,1.6423902894491,171.15122229,3518,110,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",instagram,"On-Facebook leads",8,1.17889773,0.23577954612437,405.87,50.73375,1.4268292682927,119.61980548,3393,40,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-Minimum Investment & Maximum Profit",instagram,"On-Facebook leads",4,0.67226891,0.13445378151261,353.27789373047,88.319473432617,1.5272073921971,118.74887184,2975,20,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Own a Chicken Store Today",facebook,"On-Facebook leads",10,1.75368673,0.39856516540454,497.07,49.707,1.6135048231511,198.11478677,2509,44,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Own a Chicken Store Today",facebook,"On-Facebook leads",2,1.5046767,0.08133387555917,279.62,139.81,1.7501779359431,113.71289142,2459,37,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",instagram,"On-Facebook leads",5,0.85298545,0.2508780732564,237.45,47.49,1.3340026773762,119.14199699,1993,17,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",instagram,"On-Facebook leads",5,0.83507307,0.26096033402923,221.92,44.384,1.2739361702128,115.82463466,1916,16,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Video-Own a Chicken Store Today",instagram,,,0.45792788,,146.21,,1.4855442176871,83.6920435,1747,8,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Minimum Investment & Maximum Profit",instagram,"On-Facebook leads",3,0.93567251,0.17543859649123,212.74,70.913333333333,1.5052816901408,124.40935673,1710,16,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Partner with us today!",facebook,"On-Facebook leads",1,0.78740157,0.060569351907935,198.43,198.43,1.28984375,120.18776499,1651,13,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Own a Chicken Store Today",instagram,"On-Facebook leads",2,0.85470085,0.12210012210012,242.54,121.27,1.4508414526129,148.07081807,1638,14,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-Own a Chicken Store Today",instagram,"On-Facebook leads",2,0.84801044,0.13046314416177,145.06,72.53,1.306905370844,94.62491846,1533,13,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Housewives,"Image-No. 1 Franchise Opportunity",facebook,"On-Facebook leads",4,2.50696379,0.27855153203343,237.22,59.305,2.1691842900302,165.19498607,1436,36,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",instagram,"On-Facebook leads",1,0.44603033,0.089206066012489,151.71,151.71,1.1323232323232,135.33452275,1121,5,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",instagram,"On-Facebook leads",2,1.12107623,0.22421524663677,98.7,49.35,1.1435897435897,110.65022422,892,10,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Own a Chicken Store Today",facebook,"On-Facebook leads",2,4.80349345,0.29112081513828,97.01,48.505,1.2423146473779,141.20815138,687,33,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Own a Chicken Store Today",instagram,"On-Facebook leads",2,1.3029316,0.3257328990228,64.3,32.15,1.2712215320911,104.72312704,614,8,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-No. 1 Franchise Opportunity",instagram,"On-Facebook leads",1,1.12570356,0.18761726078799,55.58,55.58,1.195067264574,104.27767355,533,6,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",instagram,,,0.20080321,,55.27,,1.1241534988713,110.98393574,498,1,2019-11-01,2019-12-03
